Variable,Long name,Standard name,Units
opottemppadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,tendency_of_sea_water_potential_temperature_expressed _as_heat_content_due_to_parameterized_eddy_advection,W m-2
opottemppmdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,tendency_of_sea_water_potential_temperature_expressed _as_heat_content_due_to_parameterized_mesoscale_eddy _diffusion,W m-2
opottemppsmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,tendency_of_sea_water_potential_temperature_expressed _as_heat_content_due_to_parameterized_submesoscale_eddy _advection,W m-2
opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,tendency_of_sea_water_potential_temperature_expressed _as_heat_content_due_to_residual_mean_advection,W m-2
opottemptend,Tendency of Sea Water Potential Temperature Expressed as Heat Content,tendency_of_sea_water_potential_temperature_expressed _as_heat_content,W m-2
orog,Surface Altitude,surface_altitude,m
orogIs,Ice Sheet Surface Altitude,surface_altitude,m
osaltdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,tendency_of_sea_water_salinity_expressed_as_salt _content_due_to_parameterized_dianeutral_mixing,kg m-2 s-1
osaltpadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,tendency_of_sea_water_salinity_expressed_as_salt _content_due_to_parameterized_eddy_advection,kg m-2 s-1
osaltpmdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,tendency_of_sea_water_salinity_expressed_as_salt _content_due_to_parameterized_mesoscale_eddy_diffusion,kg m-2 s-1
osaltpsmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,tendency_of_sea_water_salinity_expressed_as_salt _content_due_to_parameterized_submesoscale_eddy _advection,kg m-2 s-1
osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,tendency_of_sea_water_salinity_expressed_as_salt _content_due_to_residual_mean_advection,kg m-2 s-1
osalttend,Tendency of Sea Water Salinity Expressed as Salt Content,tendency_of_sea_water_salinity_expressed_as_salt _content,kg m-2 s-1
oxloss,Total Odd Oxygen (Ox) Loss Rate,tendency_of_mole_concentration_of_ox_in_air_due_to _chemical_destruction,mol m-3 s-1
oxprod,Total Odd Oxygen (Ox) Production Rate,tendency_of_mole_concentration_of_ox_in_air_due_to _chemical_and_photolytic_production,mol m-3 s-1
pabigthetao,Sea Water Added Conservative Temperature,sea_water_added_conservative_temperature,degC
pan,PAN Volume Mixing Ratio,mole_fraction_of_peroxyacetyl_nitrate_in_air,mol mol-1
parag,Aragonite Production,tendency_of_mole_concentration_of_aragonite_expressed _as_carbon_in_sea_water_due_to_biological_production,mol m-3 s-1
parasolRefl,PARASOL Reflectance,toa_bidirectional_reflectance,Dimensionless
pastureFrac,Percentage of Land Which Is Anthropogenic Pasture,area_fraction,%
pastureFracC3,C3 Pasture Area Percentage,area_fraction,%
pastureFracC4,C4 Pasture Area Percentage,area_fraction,%
pathetao,Sea Water Additional Potential Temperature,sea_water_added_potential_temperature,degC
pbfe,Biogenic Iron Production,tendency_of_mole_concentration_of_iron_in_sea_water_due _to_biological_production,mol m-3 s-1
pbo,Sea Water Pressure at Sea Floor,sea_water_pressure_at_sea_floor,Pa
pbsi,Biogenic Silicon Production,tendency_of_mole_concentration_of_silicon_in_sea_water _due_to_biological_production,mol m-3 s-1
pcalc,Calcite Production,tendency_of_mole_concentration_of_calcite_expressed_as _carbon_in_sea_water_due_to_biological_production,mol m-3 s-1
pctisccp,ISCCP Mean Cloud Top Pressure,air_pressure_at_cloud_top,Pa
pflw,Liquid Water Content of Permafrost Layer,liquid_water_content_of_permafrost_layer,kg m-2
pfull,Pressure at Model Full-Levels,air_pressure,Pa
ph,pH,sea_water_ph_reported_on_total_scale,Dimensionless
phabio,Abiotic pH,sea_water_ph_abiotic_analogue_reported_on_total_scale,Dimensionless
phabioos,Surface Abiotic pH,sea_water_ph_abiotic_analogue_reported_on_total_scale,Dimensionless
phalf,Pressure on Model Half-Levels,air_pressure,Pa
phnat,Natural pH,sea_water_ph_natural_analogue_reported_on_total_scale,Dimensionless
phnatos,Surface Natural pH,sea_water_ph_natural_analogue_reported_on_total_scale,Dimensionless
phos,Surface pH,sea_water_ph_reported_on_total_scale,Dimensionless
photo1d,"Photolysis Rate of Ozone (O3) to Excited Atomic Oxygen (the Singlet D State, O1D)",photolysis_rate_of_ozone_to_1D_oxygen_atom,s-1
phyc,Phytoplankton Carbon Concentration,mole_concentration_of_phytoplankton_expressed_as_carbon _in_sea_water,mol m-3
phycalc,Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,mole_concentration_of_calcareous_phytoplankton _expressed_as_carbon_in_sea_water,mol m-3
phycalcos,Surface Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,mole_concentration_of_calcareous_phytoplankton _expressed_as_carbon_in_sea_water,mol m-3
phycos,Sea Surface Phytoplankton Carbon Concentration,mole_concentration_of_phytoplankton_expressed_as_carbon _in_sea_water,mol m-3
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mole_concentration_of_diatoms_expressed_as_carbon_in _sea_water,mol m-3
phydiatos,Surface Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mole_concentration_of_diatoms_expressed_as_carbon_in _sea_water,mol m-3
phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mole_concentration_of_diazotrophic_phytoplankton _expressed_as_carbon_in_sea_water,mol m-3
phydiazos,Surface Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mole_concentration_of_diazotrophic_phytoplankton _expressed_as_carbon_in_sea_water,mol m-3
phyfe,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mole_concentration_of_phytoplankton_expressed_as_iron _in_sea_water,mol m-3
phyfeos,Surface Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mole_concentration_of_phytoplankton_expressed_as_iron _in_sea_water,mol m-3
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mole_concentration_of_miscellaneous_phytoplankton _expressed_as_carbon_in_sea_water,mol m-3
phymiscos,Surface Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mole_concentration_of_miscellaneous_phytoplankton _expressed_as_carbon_in_sea_water,mol m-3
phyn,Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,mole_concentration_of_phytoplankton_expressed_as _nitrogen_in_sea_water,mol m-3
phynos,Surface Mole Concentration of Phytoplankton Nitrogen in Sea Water,mole_concentration_of_phytoplankton_expressed_as _nitrogen_in_sea_water,mol m-3
phyp,Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mole_concentration_of_phytoplankton_expressed_as _phosphorus_in_sea_water,mol m-3
phypico,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mole_concentration_of_picophytoplankton_expressed_as _carbon_in_sea_water,mol m-3
phypicoos,Surface Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mole_concentration_of_picophytoplankton_expressed_as _carbon_in_sea_water,mol m-3
phypos,Surface Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mole_concentration_of_phytoplankton_expressed_as _phosphorus_in_sea_water,mol m-3
physi,Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mole_concentration_of_phytoplankton_expressed_as _silicon_in_sea_water,mol m-3
physios,Surface Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mole_concentration_of_phytoplankton_expressed_as _silicon_in_sea_water,mol m-3
pnitrate,Primary Carbon Production by Phytoplankton Due to Nitrate Uptake Alone,tendency_of_mole_concentration_of_particulate_organic _matter_expressed_as_carbon_in_sea_water_due_to_nitrate _utilization,mol m-3 s-1
po4,Total Dissolved Inorganic Phosphorus Concentration,mole_concentration_of_dissolved_inorganic_phosphorus_in _sea_water,mol m-3
po4os,Surface Total Dissolved Inorganic Phosphorus Concentration,mole_concentration_of_dissolved_inorganic_phosphorus_in _sea_water,mol m-3
pod0,Phytotoxic Ozone Dose,integral_wrt_time_of_mole_stomatal_uptake_of_ozone,mol m-2
pon,Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mole_concentration_of_particulate_organic_matter _expressed_as_nitrogen_in_sea_water,mol m-3
ponos,Surface Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mole_concentration_of_particulate_organic_matter _expressed_as_nitrogen_in_sea_water,mol m-3
pop,Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mole_concentration_of_particulate_organic_matter _expressed_as_phosphorus_in_sea_water,mol m-3
popos,Surface Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mole_concentration_of_particulate_organic_matter _expressed_as_phosphorus_in_sea_water,mol m-3
pp,Primary Carbon Production by Phytoplankton,tendency_of_mole_concentration_of_particulate_organic _matter_expressed_as_carbon_in_sea_water_due_to_net _primary_production,mol m-3 s-1
ppcalc,Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton,tendency_of_mole_concentration_of_particulate_organic _matter_expressed_as_carbon_in_sea_water_due_to_net _primary_production_by_calcareous_phytoplankton,mol m-3 s-1
ppdiat,Net Primary Organic Carbon Production by Diatoms,tendency_of_mole_concentration_of_particulate_organic _matter_expressed_as_carbon_in_sea_water_due_to_net _primary_production_by_diatoms,mol m-3 s-1
ppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,tendency_of_mole_concentration_of_particulate_organic _matter_expressed_as_carbon_in_sea_water_due_to_net _primary_production_by_diazotrophic_phytoplankton,mol m-3 s-1
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,tendency_of_mole_concentration_of_particulate_organic _matter_expressed_as_carbon_in_sea_water_due_to_net _primary_production_by_miscellaneous_phytoplankton,mol m-3 s-1
ppos,Primary Carbon Production by Phytoplankton,tendency_of_mole_concentration_of_particulate_organic _matter_expressed_as_carbon_in_sea_water_due_to_net _primary_production,mol m-3 s-1
pppico,Net Primary Mole Productivity of Carbon by Picophytoplankton,tendency_of_mole_concentration_of_particulate_organic _matter_expressed_as_carbon_in_sea_water_due_to_net _primary_production_by_picophytoplankton,mol m-3 s-1
pr,Precipitation,precipitation_flux,kg m-2 s-1
pr2h,Precipitation Flux of Water Containing Deuterium (1H 2H O),precipitation_flux_containing_single_2H,kg m-2 s-1
pr17O,Precipitation Flux of Water Containing Oxygen-17 (H2 17O),precipitation_flux_containing_17O,kg m-2 s-1
pr18O,Precipitation Flux of Water Containing Oxygen-18 (H2 18O),precipitation_flux_containing_18O,kg m-2 s-1
prbigthetao,Sea Water Redistributed Conservative Temperature,sea_water_redistributed_conservative_temperature,degC
prc,Convective Precipitation,convective_precipitation_flux,kg m-2 s-1
prcprof,Convective Rainfall Flux,convective_rainfall_flux,kg m-2 s-1
prCrop,Precipitation over Crop Tile,precipitation_flux,kg m-2 s-1
prcsh,Precipitation Flux from Shallow Convection,shallow_convective_precipitation_flux,kg m-2 s-1
prhmax,Maximum Hourly Precipitation Rate,precipitation_flux,kg m-2 s-1
prlsns,Stratiform Snowfall Flux,stratiform_snowfall_flux,kg m-2 s-1
prlsprof,Stratiform Rainfall Flux,stratiform_rainfall_flux,kg m-2 s-1
prra,Rainfall Flux over Land Ice,rainfall_flux,kg m-2 s-1
prraIs,Ice Sheet Rainfall Rate,rainfall_flux,kg m-2 s-1
prrc,Convective Rainfall Rate,convective_rainfall_flux,kg m-2 s-1
prrsn,Fraction of Rainfall on Snow,mass_fraction_of_rainfall_falling_onto_surface_snow,Dimensionless
prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1
prsn2h,Precipitation Flux of Snow and Ice Containing Deuterium (1H 2H O),solid_precipitation_flux_containing_single_2H,kg m-2 s-1
prsn17O,Precipitation Flux of Snow and Ice Containing Oxygen-17 (H2 17O),solid_precipitation_flux_containing_17O,kg m-2 s-1
prsn18O,Precipitation Flux of Snow and Ice Containing Oxygen-18 (H2 18O),solid_precipitation_flux_containing_18O,kg m-2 s-1
prsnc,Convective Snowfall Flux,convective_snowfall_flux,kg m-2 s-1
prsnIs,Ice Sheet Snowfall Flux,snowfall_flux,kg m-2 s-1
prsnsn,Fraction of Snowfall (Including Hail and Graupel) on Snow,mass_fraction_of_solid_precipitation_falling_onto _surface_snow,Dimensionless
prthetao,Sea Water Redistributed Potential Temperature,sea_water_redistributed_potential_temperature,degC
prveg,Precipitation onto Canopy,precipitation_flux_onto_canopy,kg m-2 s-1
prw,Water Vapor Path,atmosphere_mass_content_of_water_vapor,kg m-2
prw2H,Mass of Water Containing Deuterium (1H 2H O) in Layer,mass_content_of_water_vapor_containing_single_2H_in _atmosphere_layer,kg m-2
prw17O,Mass of Water Vapor Containing Oxygen-17 (H2 17O) in Layer,mass_content_of_water_vapor_containing_17O_in _atmosphere_layer,kg m-2
prw18O,Mass of Water Vapor Containing Oxygen-18 (H2 18O) in Layer,mass_content_of_water_vapor_containing_18O_in _atmosphere_layer,kg m-2
ps,Surface Air Pressure,surface_air_pressure,Pa
psitem,Transformed Eulerian Mean Mass Streamfunction,atmosphere_transformed_eulerian_mean_meridional _overturning_mass_streamfunction,kg s-1
psl,Sea Level Pressure,air_pressure_at_mean_sea_level,Pa
pso,Sea Water Pressure at Sea Water Surface,sea_water_pressure_at_sea_water_surface,Pa
ptp,Tropopause Air Pressure,tropopause_air_pressure,Pa
qgwr,Groundwater Recharge from Soil Layer,downward_liquid_water_mass_flux_into_groundwater,kg m-2 s-1
ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration,kg m-2 s-1
rac13,Carbon-13 Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _13C_due_to_plant_respiration,kg m-2 s-1
rac14,Carbon-14 Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _14C_due_to_plant_respiration,kg m-2 s-1
raGrass,Autotrophic Respiration on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration,kg m-2 s-1
rainmxrat27,Mass Fraction of Rain in Air,mass_fraction_of_liquid_precipitation_in_air,Dimensionless
raLeaf,Total Respiration from Leaves as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration_in_leaves,kg m-2 s-1
raLut,Autotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration,kg m-2 s-1
raOther,Total Respiration from Other Pools (not Leaves Stem or Roots) as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration_in_miscellaneous_living _matter,kg m-2 s-1
raRoot,Total Respiration from Roots as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration_in_roots,kg m-2 s-1
raShrub,Autotrophic Respiration on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration,kg m-2 s-1
raStem,Total Respiration from Stem as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration_in_stems,kg m-2 s-1
raTree,Autotrophic Respiration on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration,kg m-2 s-1
reffcclwtop,Cloud-Top Effective Droplet Radius in Convective Cloud,effective_radius_of_convective_cloud_liquid_water _particles_at_convective_liquid_water_cloud_top,m
reffclic,Hydrometeor Effective Radius of Convective Cloud Ice,effective_radius_of_convective_cloud_ice_particles,m
reffclis,Hydrometeor Effective Radius of Stratiform Cloud Ice,effective_radius_of_stratiform_cloud_ice_particles,m
reffclwc,Convective Cloud Liquid Droplet Effective Radius,effective_radius_of_convective_cloud_liquid_water _particles,m
reffclws,Stratiform Cloud Liquid Droplet Effective Radius,effective_radius_of_stratiform_cloud_liquid_water _particles,m
reffclwtop,Cloud-Top Effective Droplet Radius,effective_radius_of_cloud_liquid_water_particles_at _liquid_water_cloud_top,m
reffgrpls,Hydrometeor Effective Radius of Stratiform Graupel,effective_radius_of_stratiform_cloud_graupel_particles,m
reffrainc,Hydrometeor Effective Radius of Convective Rainfall,effective_radius_of_convective_cloud_rain_particles,m
reffrains,Hydrometeor Effective Radius of Stratiform Rainfall,effective_radius_of_stratiform_cloud_rain_particles,m
reffsclwtop,Cloud-Top Effective Droplet Radius in Stratiform Cloud,effective_radius_of_stratiform_cloud_liquid_water _particles_at_stratiform_liquid_water_cloud_top,m
reffsnowc,Hydrometeor Effective Radius of Convective Snowfall,effective_radius_of_convective_cloud_snow_particles,m
reffsnows,Hydrometeor Effective Radius of Stratiform Snowfall,effective_radius_of_stratiform_cloud_snow_particles,m
remoc,Remineralization of Organic Carbon,tendency_of_mole_concentration_of_particulate_organic _matter_expressed_as_carbon_in_sea_water_due_to _remineralization,mol m-3 s-1
residualFrac,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,area_fraction,%
rGrowth,Total Autotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration_for_biomass_growth,kg m-2 s-1
rh,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_heterotrophic_respiration,kg m-2 s-1
rhc13,Carbon-13 Mass Flux into Atmosphere Due to Heterotrophic Respiration on Land [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _13C_due_to_heterotrophic_respiration,kg m-2 s-1
rhc14,Carbon-14 Mass Flux into Atmosphere Due to Heterotrophic Respiration on Land [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _14C_due_to_heterotrophic_respiration,kg m-2 s-1
rhGrass,Heterotrophic Respiration on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_heterotrophic_respiration,kg m-2 s-1
rhLitter,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Litter on Land,surface_upward_mass_flux_of_carbon_due_to_heterotrophic _respiration_in_litter,kg m-2 s-1
rhLut,Heterotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_heterotrophic_respiration,kg m-2 s-1
rhShrub,Heterotrophic Respiration on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_heterotrophic_respiration,kg m-2 s-1
rhSoil,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Soil on Land,surface_upward_mass_flux_of_carbon_due_to_heterotrophic _respiration_in_soil,kg m-2 s-1
rhTree,Heterotrophic Respiration on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_heterotrophic_respiration,kg m-2 s-1
rivi,River Inflow,incoming_water_volume_transport_along_river_channel,m3 s-1
rivo,River Discharge,outgoing_water_volume_transport_along_river_channel,m3 s-1
rld,Downwelling Longwave Radiation,downwelling_longwave_flux_in_air,W m-2
rld4co2,Downwelling Longwave Radiation 4XCO2 Atmosphere,downwelling_longwave_flux_in_air,W m-2
rldcs,Downwelling Clear-Sky Longwave Radiation,downwelling_longwave_flux_in_air_assuming_clear_sky,W m-2
rldcs4co2,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,downwelling_longwave_flux_in_air_assuming_clear_sky,W m-2
rlds,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear _sky,W m-2
rldsIs,Ice Sheet Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2
rlntds,Surface Net Downward Longwave Radiation,surface_net_downward_longwave_flux,W m-2
rls,Net Longwave Surface Radiation,surface_net_downward_longwave_flux,W m-2
rlu,Upwelling Longwave Radiation,upwelling_longwave_flux_in_air,W m-2
rlu4co2,Upwelling Longwave Radiation 4XCO2 Atmosphere,upwelling_longwave_flux_in_air,W m-2
rlucs,Upwelling Clear-Sky Longwave Radiation,upwelling_longwave_flux_in_air_assuming_clear_sky,W m-2
rlucs4co2,Upwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,upwelling_longwave_flux_in_air_assuming_clear_sky,W m-2
rlus,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2
rlusIs,Ice Sheet Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2
rlusLut,Surface Upwelling Longwave on Land-Use Tile,surface_upwelling_longwave_flux_in_air,W m-2
rlut,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,W m-2
rlut4co2,TOA Outgoing Longwave Radiation 4XCO2 Atmosphere,toa_outgoing_longwave_flux,W m-2
rlutaf,TOA Outgoing Aerosol-Free Longwave Radiation,toa_outgoing_longwave_flux,W m-2
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,W m-2
rlutcs4co2,TOA Outgoing Clear-Sky Longwave Radiation 4XCO2 Atmosphere,toa_outgoing_longwave_flux_assuming_clear_sky,W m-2
rlutcsaf,"TOA Outgoing Clear-Sky, Aerosol-Free Longwave Radiation",toa_outgoing_longwave_flux_assuming_clear_sky,W m-2
rMaint,Carbon Mass Flux into Atmosphere Due to Maintenance Autotrophic Respiration on Land [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_plant_respiration_for_biomass_maintenance,kg m-2 s-1
rootd,Maximum Root Depth,root_depth,m
rootdsl,Root Distribution,root_mass_content_of_carbon,kg m-2
rsd,Downwelling Shortwave Radiation,downwelling_shortwave_flux_in_air,W m-2
rsd4co2,Downwelling Shortwave Radiation 4XCO2 Atmosphere,downwelling_shortwave_flux_in_air,W m-2
rsdcs,Downwelling Clear-Sky Shortwave Radiation,downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2
rsdcs4co2,Downwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2
rsdcsaf,"Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",downwelling_shortwave_flux_in_air_assuming_clear_sky _and_no_aerosol,W m-2
rsdcsafbnd,"Downwelling Clear-Sky, Aerosol-Free, Shortwave Radiation in Bands",downwelling_shortwave_flux_in_air_assuming_clear_sky _and_no_aerosol,W m-2
rsdcsbnd,Downwelling Clear-Sky Shortwave Radiation at Each Level for Each Band,downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2
rsdo,Downwelling Shortwave Radiation in Sea Water,downwelling_shortwave_flux_in_sea_water,W m-2
rsdoabsorb,Net Rate of Absorption of Shortwave Energy in Ocean Layer,net_rate_of_absorption_of_shortwave_energy_in_ocean _layer,W m-2
rsds,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming _clear_sky,W m-2
rsdscsaf,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",surface_downwelling_shortwave_flux_in_air_assuming _clear_sky_and_no_aerosol,W m-2
rsdscsafbnd,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",surface_downwelling_shortwave_flux_in_air_assuming _clear_sky_and_no_aerosol,W m-2
rsdscsbnd,Surface Downwelling Clear-Sky Shortwave Radiation for Each Band,surface_downwelling_shortwave_flux_in_air_assuming _clear_sky,W m-2
rsdscsdiff,Surface Diffuse Downwelling Clear Sky Shortwave Radiation,surface_diffuse_downwelling_shortwave_flux_in_air _assuming_clear_sky,W m-2
rsdsdiff,Surface Diffuse Downwelling Shortwave Radiation,surface_diffuse_downwelling_shortwave_flux_in_air,W m-2
rsdsIs,Ice Sheet Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2
rsdt,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,W m-2
rsntds,Net Downward Shortwave Radiation at Sea Water Surface,net_downward_shortwave_flux_at_sea_water_surface,W m-2
rss,Net Shortwave Surface Radiation,surface_net_downward_shortwave_flux,W m-2
rsu,Upwelling Shortwave Radiation,upwelling_shortwave_flux_in_air,W m-2
rsu4co2,Upwelling Shortwave Radiation 4XCO2 Atmosphere,upwelling_shortwave_flux_in_air,W m-2
rsucs,Upwelling Clear-Sky Shortwave Radiation,upwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2
rsucs4co2,Upwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,upwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2
rsucsaf,"Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation",upwelling_shortwave_flux_in_air_assuming_clear_sky_and _no_aerosol,W m-2
rsucsafbnd,"Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",upwelling_shortwave_flux_in_air_assuming_clear_sky_and _no_aerosol,W m-2
rsucsbnd,Upwelling Clear-Sky Shortwave Radiation at Each Level for Each Band,upwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2
rsus,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear _sky,W m-2
rsuscsaf,Surface Upwelling Clean Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear _sky_and_no_aerosol,W m-2
rsuscsafbnd,"Surface Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",surface_upwelling_shortwave_flux_in_air_assuming_clear _sky_and_no_aerosol,W m-2
rsuscsbnd,Surface Upwelling Clear-Sky Shortwave Radiation for Each Band,surface_upwelling_shortwave_flux_in_air_assuming_clear _sky,W m-2
rsusIs,Ice Sheet Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2
rsusLut,Surface Upwelling Shortwave on Land-Use Tile,surface_upwelling_shortwave_flux_in_air,W m-2
rsut,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,W m-2
rsut4co2,TOA Outgoing Shortwave Radiation in 4XCO2 Atmosphere,toa_outgoing_shortwave_flux,W m-2
rsutaf,TOA Outgoing Aerosol-Free Shortwave Radiation,toa_outgoing_shortwave_flux,W m-2
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,W m-2
rsutcs4co2,TOA Outgoing Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,toa_outgoing_shortwave_flux_assuming_clear_sky,W m-2
